graph_size,mode,agent_count,num_seeds,final_update,ce_mean_positive_regret_mean,ce_mean_positive_regret_std,ce_mean_positive_regret_stderr,ce_mean_positive_regret_ci95,ce_mean_positive_regret_ci95_low,ce_mean_positive_regret_ci95_high,ce_ucb95_mean,eval_realized_cost_mean,eval_realized_cost_std,eval_realized_cost_stderr,eval_realized_cost_ci95,eval_realized_cost_ci95_low,eval_realized_cost_ci95_high,fraction_ex_post_epsilon_ce,widths,num_nodes,num_edges,topology
medium,deepcfr,5,3,5000,0.003717743854424353,0.0015208270444136258,0.0008780499034830698,0.0017209778108268168,0.001996766043597536,0.00543872166525117,0.005451418310799382,42.301819024456584,1.172684416915244,0.6770496637804955,1.3270173410097712,40.97480168344681,43.628836365466356,0.0,"4,4,4",14,29,main_path
medium,deepcfr_rl_distill,5,3,5000,0.004980985644073749,0.001799676374689427,0.0010390436393811506,0.0020365255331870552,0.0029444601108866934,0.007017511177260804,0.007175074711739008,44.96425845678035,2.573440594123093,1.4857766197604783,2.9121221747305372,42.052136282049815,47.876380631510884,0.0,"4,4,4",14,29,main_path
medium,deepcfr_rl_no_distill,5,3,5000,0.002345212592839129,0.0007406353839771371,0.000427606038310562,0.0008381078350887015,0.0015071047577504275,0.0031833204279278307,0.0035189536056311837,44.45857967048972,1.588479913913737,0.9171093059004097,1.797534239564803,42.661045430924915,46.25611391005452,0.0,"4,4,4",14,29,main_path
medium,ppo,5,3,5000,0.0058742124831280005,0.0012397503220956088,0.0007157701821898251,0.001402909557092057,0.004471302926035943,0.007277122040220058,0.008233731150992912,44.42125521325519,4.488805126427094,2.591612848082455,5.079561182241612,39.34169403101358,49.500816395496805,0.0,"4,4,4",14,29,main_path
medium,deepcfr,20,3,5000,0.0075041924329174664,0.0018284667052378774,0.0010556657444733566,0.002069104859167779,0.005435087573749687,0.009573297292085246,0.008802426055409382,292.6732961564382,4.33975847013241,2.5055607209489055,4.910899013059854,287.76239714337834,297.58419516949806,0.0,"4,4,4",14,29,main_path
medium,deepcfr_rl_distill,20,3,5000,0.007561693965019318,0.0005614768614195806,0.0003241688170843411,0.0006353708814853086,0.006926323083534009,0.008197064846504627,0.00892038208967948,288.31410735228724,13.85714001919409,8.000423520280044,15.680830099748887,272.63327725253833,303.99493745203614,0.0,"4,4,4",14,29,main_path
medium,deepcfr_rl_no_distill,20,3,5000,0.007429247917669452,0.0021262438369038126,0.001227587451599199,0.00240607140513443,0.005023176512535022,0.009835319322803881,0.008656649586597549,280.6302437227592,13.658399658624257,7.885680719606207,15.455934210428167,265.17430951233104,296.08617793318734,0.0,"4,4,4",14,29,main_path
medium,ppo,20,3,5000,0.007350696029234529,0.0005641603481556235,0.00032571812887376226,0.000638407532592574,0.006712288496641955,0.007989103561827103,0.008694002642635397,294.5554905707429,10.68228680629721,6.167421163176482,12.088145479825904,282.467345090917,306.64363605056883,0.0,"4,4,4",14,29,main_path
medium,deepcfr,50,3,5000,0.004907438689742819,0.0004510732664583926,0.00026042727181399674,0.0005104374527554336,0.004397001236987386,0.005417876142498253,0.005509825411874204,1195.7102479394387,46.46807058011047,26.82835305814931,52.58357199397265,1143.126675945466,1248.2938199334112,0.0,"4,4,4",14,29,main_path
medium,deepcfr_rl_distill,50,3,5000,0.005683105067395864,0.0008907137204878135,0.0005142538062945322,0.001007937460337283,0.004675167607058581,0.006691042527733147,0.006334488638418695,1163.4094143256618,38.07217688990648,21.980981576022558,43.082723889004214,1120.3266904366576,1206.492138214666,0.0,"4,4,4",14,29,main_path
medium,deepcfr_rl_no_distill,50,3,5000,0.005104156240839038,0.0006123694310038152,0.0003535516558335507,0.0006929612454337593,0.004411194995405279,0.005797117486272797,0.005695671562137285,1187.6453166210465,32.14675550971138,18.559937947104952,36.377478376325705,1151.267838244721,1224.022794997372,0.0,"4,4,4",14,29,main_path
medium,ppo,50,3,5000,0.005379739071081185,0.0017999798257523822,0.0010392188369340335,0.0020368689203907058,0.003342870150690479,0.007416607991471891,0.005996739459986221,1206.1774991779569,71.59292693329277,41.33419563700979,81.0150234485392,1125.1624757294176,1287.1925226264962,0.0,"4,4,4",14,29,main_path
small,deepcfr,5,3,5000,0.002301904829460933,0.0019182392353200794,0.0011074959388821498,0.0021706920402090133,0.0001312127892519198,0.004472596869669946,0.003653397874872609,47.66395896191691,3.019456355510694,1.7432839396604256,3.4168365217344343,44.24712244018248,51.08079548365134,0.3333333333333333,"3,3,3",11,19,main_path
small,deepcfr_rl_distill,5,3,5000,0.0027559268072662123,0.0014046505324017057,0.000810975362999476,0.001589511711478973,0.0011664150957872393,0.004345438518745186,0.004338493051520299,47.62755266174451,1.0748190663181685,0.6205470772689369,1.2162722714471164,46.41128039029739,48.84382493319163,0.0,"3,3,3",11,19,main_path
small,deepcfr_rl_no_distill,5,3,5000,0.003018674691254032,0.0025526142253287708,0.0014737525101308339,0.0028885549198564343,0.00013011977139759786,0.005907229611110466,0.00456794491499683,47.303577883127446,1.3772277513390345,0.7951428129710146,1.5584799134231886,45.745097969704254,48.86205779655064,0.0,"3,3,3",11,19,main_path
small,ppo,5,3,5000,0.004742145315493309,0.002365362827480694,0.0013656428651771131,0.002676660015747142,0.0020654852997461673,0.0074188053312404505,0.007179527272572314,47.853538802763836,3.047568778274699,1.7595146545107965,3.448648722841161,44.40489007992267,51.302187525605,0.0,"3,3,3",11,19,main_path
small,deepcfr,20,3,5000,0.004388224463616218,0.001008243872256675,0.000582109871056182,0.0011409353472701166,0.0032472891163461016,0.005529159810886334,0.005328270184331559,345.3394631466256,12.961089305363997,7.483088399442684,14.66685326290766,330.67260988371794,360.0063164095332,0.0,"3,3,3",11,19,main_path
small,deepcfr_rl_distill,20,3,5000,0.005227031052327684,0.0012777763131806331,0.0007377244983789662,0.0014459400168227736,0.00378109103550491,0.006672971069150458,0.00640260008915405,351.8428717285778,18.57940621781958,10.726825181241542,21.024577355233422,330.8182943733444,372.8674490838112,0.0,"3,3,3",11,19,main_path
small,deepcfr_rl_no_distill,20,3,5000,0.004279143242704023,0.0010934853880951926,0.000631324083171682,0.0012373952030164965,0.003041748039687526,0.005516538445720519,0.005270182240270958,336.9684453247741,4.496329015104761,2.595956767235859,5.088075263782284,331.8803700609918,342.0565205885564,0.0,"3,3,3",11,19,main_path
small,ppo,20,3,5000,0.003978520628270925,0.00017547728300315092,0.00010131185657853333,0.00019857123889392532,0.0037799493893769997,0.00417709186716485,0.004910932240337985,350.5706032484859,4.809278824083421,2.77663842369253,5.442211310437359,345.12839193804854,356.01281455892325,0.0,"3,3,3",11,19,main_path
small,deepcfr,50,3,5000,0.0043339195885992495,0.001242234213879182,0.0007172042577797089,0.0014057203452482294,0.00292819924335102,0.005739639933847479,0.004891201016596881,1611.9509638392346,155.34176711684896,89.6866110613049,175.78575768015762,1436.1652061590771,1787.7367215193922,0.0,"3,3,3",11,19,main_path
small,deepcfr_rl_distill,50,3,5000,0.004937042639156915,0.001196225195743807,0.0006906409387740998,0.0013536562399972356,0.0035833863991596793,0.0062906988791541505,0.005507992953918996,1564.8850338761142,56.095280116917074,32.38662507576954,63.47778514850829,1501.407248727606,1628.3628190246225,0.0,"3,3,3",11,19,main_path
small,deepcfr_rl_no_distill,50,3,5000,0.005032956545046787,0.0009245612409507841,0.0005337956813452297,0.0010462395354366501,0.003986717009610137,0.006079196080483437,0.005600068774881481,1553.2220115588898,69.90893436200608,40.36194207266409,79.10940646242162,1474.112605096468,1632.3314180213115,0.0,"3,3,3",11,19,main_path
small,ppo,50,3,5000,0.005150488567589001,0.0010244497266902167,0.0005914663254758352,0.001159273997932637,0.003991214569656364,0.006309762565521638,0.0057441675875628635,1608.160306862025,23.76985409081284,13.72353165792892,26.89812204954068,1581.2621848124843,1635.0584289115657,0.0,"3,3,3",11,19,main_path
