graph_size,mode,agent_count,risk_alpha_label,risk_alpha,num_seeds,final_update,risk_ce_mean_positive_regret_mean,risk_ce_mean_positive_regret_std,risk_ce_mean_positive_regret_stderr,risk_ce_mean_positive_regret_ci95,risk_ce_ucb95_mean,risk_eval_realized_cost_mean,risk_eval_realized_cost_std,risk_eval_realized_cost_stderr,risk_eval_realized_cost_ci95,risk_eval_effective_cost_mean,risk_num_eval_decisions_mean,widths,num_nodes,num_edges,topology
large,deepcfr,5,0p00,0.0,3,5000,0.00467129176445724,0.0012545128386948759,0.0007242933251223281,0.0014196149172397631,0.008007636842182786,19.589158130174855,2.354553102580249,1.3594018675959754,2.6644276604881116,19.769944444444448,25.666666666666668,"5,5,5",17,38,main_path
large,deepcfr,5,0p20,0.2,3,5000,0.005511104671284646,0.003665651611768456,0.002116364944809904,0.004148075291827411,0.010568110760687725,9.252870925856366,0.5926879767701844,0.34218856293372063,0.6706895833500924,9.425910227777779,12.333333333333334,"5,5,5",17,38,main_path
large,deepcfr,5,0p60,0.6,3,5000,0.002886216844251055,0.0007034891026512022,0.0004061596227876399,0.0007960728606637742,0.006613902185379033,8.142516904657697,0.18019236361088736,0.10403410963666075,0.20390685488785507,8.791398725,12.0,"5,5,5",17,38,main_path
large,deepcfr,5,1p00,1.0,3,5000,0.004528273894889721,0.004843466926839227,0.0027963769340216774,0.005480898790682488,0.00820729017972948,8.619347027002306,0.9798297145851759,0.5657049494757455,1.108781700972461,8.950911430555557,12.0,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,5,0p00,0.0,3,5000,0.006838155801671191,0.0050640862326942395,0.002923751549645497,0.005730553037305174,0.010543849470588543,17.950585100474353,2.0305691873173077,1.1723496669058073,2.2978053471353825,18.299444444444447,25.333333333333332,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,5,0p20,0.2,3,5000,0.005612550197804323,0.0010641959761207478,0.0006144138332838304,0.0012042511132363074,0.01148742103322122,8.929263767331618,0.6156666458763479,0.3554553037277835,0.6966923953064557,9.031149541666666,12.666666666666666,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,5,0p60,0.6,3,5000,0.005989312636204047,0.001808618869225857,0.0010442065910089852,0.002046644918377611,0.01155511821465009,9.191646174899349,1.0063469083219916,0.5810146584178495,1.138788730498985,9.088426072222221,12.333333333333334,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,5,1p00,1.0,3,5000,0.006063633666533186,0.0010297942168521687,0.0005945519683095195,0.0011653218578866582,0.011432448439532636,9.191161428246955,1.023943706456618,0.5911741745577516,1.158701382133193,9.588940458333333,12.666666666666666,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,5,0p00,0.0,3,5000,0.008959440867786264,0.0017262801173754108,0.0009966682904633923,0.001953469849308249,0.0140995124333686,20.480973713412528,1.1036148171123126,0.6371723117414533,1.2488577310132485,20.667055555555553,26.666666666666668,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,5,0p20,0.2,3,5000,0.006213594813844557,0.006985650763693481,0.004033167348883146,0.007905008003810967,0.011021270077659566,9.570201300455318,1.1102655923072877,0.6410121385905919,1.2563837916375602,9.46626511388889,12.666666666666666,"5,5,5",17,38,main_path
